<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,20210617,213200,1.1918800,1.1919300,1.1916000,1.1919300,1323
EURUSD,1,20210617,213300,1.1918500,1.1919400,1.1917000,1.1919000,982
EURUSD,1,20210617,213400,1.1919000,1.1919200,1.1915000,1.1917900,1227
EURUSD,1,20210617,213500,1.1917700,1.1918500,1.1916900,1.1917900,982
EURUSD,1,20210617,213600,1.1917700,1.1918300,1.1914000,1.1916000,1249
EURUSD,1,20210617,213700,1.1915000,1.1918300,1.1915000,1.1917800,1029
EURUSD,1,20210617,213800,1.1917900,1.1918100,1.1915000,1.1917600,1141
EURUSD,1,20210617,213900,1.1917800,1.1918000,1.1915000,1.1916400,1005
EURUSD,1,20210617,214000,1.1916500,1.1917200,1.1915000,1.1916400,1052
EURUSD,1,20210617,214100,1.1916500,1.1920300,1.1915000,1.1919000,1530
EURUSD,1,20210617,214200,1.1919700,1.1920300,1.1918000,1.1919600,875
EURUSD,1,20210617,214300,1.1919800,1.1922600,1.1917000,1.1921500,1818
EURUSD,1,20210617,214400,1.1921500,1.1921800,1.1918000,1.1920400,1046
EURUSD,1,20210617,214500,1.1920000,1.1921300,1.1918000,1.1920600,1317
EURUSD,1,20210617,214600,1.1920600,1.1921000,1.1918000,1.1920400,1423
EURUSD,1,20210617,214700,1.1919800,1.1920600,1.1917000,1.1919600,1050
EURUSD,1,20210617,214800,1.1919600,1.1920000,1.1915000,1.1917300,1162
EURUSD,1,20210617,214900,1.1917300,1.1918300,1.1915000,1.1918300,1346
EURUSD,1,20210617,215000,1.1918100,1.1918300,1.1915000,1.1917700,1407
EURUSD,1,20210617,215100,1.1917700,1.1919300,1.1916000,1.1918700,1454
EURUSD,1,20210617,215200,1.1918700,1.1918800,1.1915000,1.1917700,1111
EURUSD,1,20210617,215300,1.1916900,1.1918900,1.1915000,1.1916400,1345
EURUSD,1,20210617,215400,1.1917000,1.1917500,1.1914000,1.1917400,1298
EURUSD,1,20210617,215500,1.1916600,1.1918200,1.1915000,1.1917600,1204
EURUSD,1,20210617,215600,1.1917600,1.1918100,1.1915000,1.1916700,1364
EURUSD,1,20210617,215700,1.1916600,1.1917300,1.1914000,1.1916800,1382
EURUSD,1,20210617,215800,1.1916700,1.1917400,1.1914000,1.1914900,1853
EURUSD,1,20210617,215900,1.1915500,1.1915700,1.1910000,1.1912100,2251
EURUSD,1,20210617,220000,1.1912400,1.1912700,1.1909000,1.1910600,2533
EURUSD,1,20210617,220100,1.1910700,1.1914500,1.1909800,1.1912600,2085
EURUSD,1,20210617,220200,1.1913300,1.1914200,1.1911000,1.1913600,1142
EURUSD,1,20210617,220300,1.1913500,1.1914000,1.1911000,1.1912700,959
EURUSD,1,20210617,220400,1.1912000,1.1913800,1.1911000,1.1912700,943
EURUSD,1,20210617,220500,1.1912600,1.1913400,1.1911000,1.1911000,1190
EURUSD,1,20210617,220600,1.1913200,1.1913700,1.1910000,1.1911600,1073
EURUSD,1,20210617,220700,1.1911600,1.1912000,1.1908000,1.1910400,1193
EURUSD,1,20210617,220800,1.1910400,1.1910700,1.1907000,1.1909100,1157
EURUSD,1,20210617,220900,1.1909100,1.1910000,1.1907000,1.1908500,973
EURUSD,1,20210617,221000,1.1908700,1.1909700,1.1906000,1.1907700,1188
EURUSD,1,20210617,221100,1.1907700,1.1908200,1.1905000,1.1906500,1290
EURUSD,1,20210617,221200,1.1906500,1.1907200,1.1905000,1.1906700,943
EURUSD,1,20210617,221300,1.1906800,1.1908600,1.1905000,1.1908300,930
EURUSD,1,20210617,221400,1.1908100,1.1910500,1.1907000,1.1910000,1340
EURUSD,1,20210617,221500,1.1909900,1.1910400,1.1907000,1.1908900,1183
EURUSD,1,20210617,221600,1.1909000,1.1909100,1.1906000,1.1907900,1019
EURUSD,1,20210617,221700,1.1907900,1.1908800,1.1907000,1.1908500,551
EURUSD,1,20210617,221800,1.1908600,1.1908700,1.1905000,1.1906600,995
EURUSD,1,20210617,221900,1.1906700,1.1907200,1.1904000,1.1906400,855
EURUSD,1,20210617,222000,1.1906400,1.1907200,1.1904000,1.1906300,846
EURUSD,1,20210617,222100,1.1907000,1.1907300,1.1904000,1.1906200,704
EURUSD,1,20210617,222200,1.1906300,1.1907300,1.1904000,1.1907000,558
EURUSD,1,20210617,222300,1.1907000,1.1907000,1.1904000,1.1904900,976
EURUSD,1,20210617,222400,1.1905500,1.1906800,1.1904000,1.1905500,923
EURUSD,1,20210617,222500,1.1905700,1.1907600,1.1904000,1.1906700,1050
EURUSD,1,20210617,222600,1.1906700,1.1907300,1.1905000,1.1906000,848
EURUSD,1,20210617,222700,1.1906800,1.1907700,1.1905000,1.1906700,1089
EURUSD,1,20210617,222800,1.1906700,1.1907600,1.1905000,1.1906100,980
EURUSD,1,20210617,222900,1.1906700,1.1907800,1.1905000,1.1907400,893
EURUSD,1,20210617,223000,1.1907000,1.1910700,1.1906000,1.1909800,814
EURUSD,1,20210617,223100,1.1910500,1.1911500,1.1908000,1.1909400,1410
EURUSD,1,20210617,223200,1.1909400,1.1910100,1.1906000,1.1907600,807
EURUSD,1,20210617,223300,1.1907500,1.1908100,1.1905000,1.1907000,645
EURUSD,1,20210617,223400,1.1907100,1.1908000,1.1905000,1.1906500,945
EURUSD,1,20210617,223500,1.1906500,1.1907000,1.1904000,1.1906100,649
EURUSD,1,20210617,223600,1.1906100,1.1906400,1.1903000,1.1905000,938
EURUSD,1,20210617,223700,1.1905000,1.1905700,1.1903000,1.1904000,941
EURUSD,1,20210617,223800,1.1904800,1.1905400,1.1902000,1.1903900,897
